Latitude,Longitude,10 Mi Quakes,25 Mi Quakes,50 Mi Quakes,Max Mag 10 Mi,Max Mag 25 Mi,Max Mag 50 Mi,Time D 10Mi,Time D 25Mi,Time D 50Mi,T 10Mi,T 25Mi,T 50Mi
33.961,-117.98100000000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
41.718999999999994,-123.976,0,0,2,0.0,0.0,3.8,-1.0,-1.0,2449924.0,3.5,3.5,3.5
36.967,-121.59766670000002,3,3,6,2.8,2.8,3.15,828946.0,828946.0,1024157.0,3.68,3.68,3.68
37.3721667,-118.5225,0,0,1,0.0,0.0,2.69,-1.0,-1.0,1074071.0,0.0,0.0,0.0
40.3121667,-124.5575,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
37.647833299999995,-118.8465,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.818000000000005,-121.53933329999998,1,1,2,2.54,2.54,3.43,2420944.0,2420944.0,1886200.0,2.65,3.27,3.27
40.6158333,-125.2021667,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.916,-115.76899999999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
34.611999999999995,-116.318,294,425,441,7.1,7.1,7.1,86353.0,86353.0,86353.0,4.63,4.99,4.99
38.4283333,-119.35916670000002,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.801,-122.79866670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,2.58
36.586999999999996,-121.0375,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
39.8911667,-120.805,0,0,8,0.0,0.0,4.0,-1.0,-1.0,1821447.0,3.2,3.2,3.2
32.6638333,-115.66716670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
